mode,num_envs,num_motions,terminated_prob,time_step_total,bin_count,avg_resample_env_ids,iters,warmup,frames_per_motion,length_jitter,bin_size,alpha,use_bincount,adaptive_kernel_size,adaptive_lambda,adaptive_uniform_ratio,adaptive_alpha,total_ms,get_env_ids_ms,post_update_ms,resample_ms,dist_ms,adaptive_ms
cmd2,131040,1,0.05,2869,58,6597.05,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.44831498875282705,0.12718608835712075,0.024074773536995053,0.0,0.0,0.29705412685871124
cmd3,131040,1,0.05,2869,58,6596.79,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3556439362000674,0.14108676346950233,0.0,0.10693054064176977,0.1076266320887953,0.0
cmd1,131040,1,0.2,2869,58,26279.045,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.49948919215239584,0.1388223806861788,0.20012133056297898,0.16054548090323806,0.0,0.0
cmd2,131040,1,0.2,2869,58,26249.045,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4846326378174126,0.14841225813142955,0.0273474701680243,0.0,0.0,0.30887290951795876
cmd3,131040,1,0.2,2869,58,26247.195,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3318640810903162,0.1361979334615171,0.0,0.10356453363783658,0.0921016139909625,0.0
cmd1,131040,1,0.6,2869,58,78707.61,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.5811267206445336,0.13943871250376105,0.28522330103442073,0.15646470710635185,0.0,0.0
cmd2,131040,1,0.6,2869,58,78625.32,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.48065821058116853,0.14572914107702672,0.030474127270281315,0.0,0.0,0.3044549422338605
cmd3,131040,1,0.6,2869,58,78625.485,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.32833275268785655,0.13545749941840768,0.0,0.10039176675491035,0.09248348651453853,0.0
cmd1,131040,1,0.98,2869,58,128434.395,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.6777585600502789,0.14574207016266882,0.37591098225675523,0.15610550763085485,0.0,0.0
cmd2,131040,1,0.98,2869,58,128420.54,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4787985107395798,0.1350116077810526,0.023016335908323526,0.0,0.0,0.3207705670502037
cmd3,131040,1,0.98,2869,58,128420.55,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.32688288716599345,0.14514919836074114,0.0,0.09171666111797094,0.09001702768728137,0.0
cmd1,131040,50,0.05,148994,2980,6590.52,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.42731606285087764,0.13330007204785943,0.16814966686069965,0.12586632394231856,0.0,0.0
